provenance,symbol,effective_from,effective_to,from_source,to_source
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",KWIL,2025-12-05,2026-02-23,ind_prs28112025.pdf,ind_prs20022026_1.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",LT,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",LTIM,2023-07-13,2024-09-29,ind_prs04072023.pdf,ind_prs23082024.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",M&M,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",MARUTI,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",MAXHEALTH,2025-09-30,,ind_prs22082025.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",NESTLEIND,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",NTPC,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ONGC,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",POWERGRID,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",RELIANCE,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",SBILIFE,2020-09-25,,ind_prs20082020.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",SBIN,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",SHREECEM,2020-03-19,2022-09-29,ind_prs16032020.pdf,ind_prs01092022.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",SHRIRAMFIN,2024-03-28,,ind_prs28022024.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",SUNPHARMA,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TATACONSUM,2021-03-31,,ind_prs23022021.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TATASTEEL,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TCS,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TECHM,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TITAN,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TMCV,2025-10-14,2025-11-16,ind_prs07102025.pdf,ind_prs13112025.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TMPV,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",TRENT,2024-09-30,,ind_prs23082024.pdf,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ULTRACEMCO,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",UPL,,2024-03-27,before window,ind_prs28022024.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",VEDL,,2020-07-30,before window,ind_prs02072020_1.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",WIPRO,,,before window,anchor list 2026-09-17
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",YESBANK,,2020-03-18,before window,ind_prs16032020.pdf
"NSE Indices press releases, validated in data_validation Phase 1 (anchor ind_nifty50list 2026-09-17)",ZEEL,,2020-09-24,before window,ind_prs20082020.pdf
