symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
TATAMOTORS,96,completed,2021-09-30,28500,0,28500,0,0,0,0,0,0,0,FLAT
SBIN,99,completed,2021-05-27,24000,0,24000,0,0,0,0,0,0,0,FLAT
IOC,100,fo_exit,2021-03-31,91000,0,0,91000,0,0,0,0,0,0,FLAT
M&M,114,completed,2021-10-28,12600,0,12600,0,0,0,0,0,0,0,FLAT
MARUTI,118,completed,2021-09-30,1500,0,1500,0,0,0,0,0,0,0,FLAT
TCS,119,completed,2021-08-26,3300,0,3300,0,0,0,0,0,0,0,FLAT
HDFCLIFE,122,completed,2023-11-30,15400,0,15400,0,0,0,0,0,14300,0,FLAT
COALINDIA,130,completed,2022-03-31,33600,0,33600,0,0,0,0,0,0,0,FLAT
ICICIBANK,140,completed,2022-01-27,15125,0,15125,0,0,0,0,0,0,0,FLAT
BHARTIARTL,142,residual_after_call_away,2022-04-01,16974,0,16150,824,0,0,0,0,824,824,FLAT
HCLTECH,144,completed,2023-09-28,9800,0,9800,0,0,0,0,0,7700,0,FLAT
TECHM,145,completed,2024-08-29,7200,0,7200,0,0,0,0,0,6600,0,FLAT
WIPRO,146,open,,18400,18400,0,0,36800,36800,0,36800,800,0,OPEN_AT_END
DRREDDY,148,completed,2023-04-27,1875,0,1875,0,0,0,0,0,1625,0,FLAT
CIPLA,169,completed,2024-01-25,5850,0,5850,0,0,0,0,0,0,0,FLAT
HINDALCO,187,completed,2024-04-25,22400,0,22400,0,0,0,0,0,0,0,FLAT
DIVISLAB,194,completed,2024-04-25,3600,0,3600,0,0,0,0,0,0,0,FLAT
M&M,196,completed,2024-02-29,8050,0,8050,0,0,0,0,0,0,0,FLAT
JSWSTEEL,197,completed,2024-04-25,14175,0,14175,0,0,0,0,0,0,0,FLAT
DRREDDY,205,completed,2024-06-27,2375,0,2375,0,0,0,0,0,0,0,FLAT
SHRIRAMFIN,220,completed,2024-08-29,5700,0,5700,0,0,0,0,0,0,0,FLAT
AXISBANK,223,completed,2024-09-26,13125,0,13125,0,0,0,0,0,0,0,FLAT
JSWSTEEL,233,completed,2024-08-29,3375,0,3375,0,0,0,0,0,0,0,FLAT
TATAMOTORS,242,terminated,2025-10-13,17050,0,0,17050,0,0,0,0,14850,0,FLAT
M&M,252,completed,2025-06-26,5950,0,5950,0,0,0,0,0,0,0,FLAT
BAJAJ-AUTO,253,open,,1500,0,0,0,1500,1500,0,1500,0,0,OPEN_AT_END
MARUTI,254,completed,2025-08-28,1400,0,1400,0,0,0,0,0,850,0,FLAT
TATASTEEL,255,completed,2025-05-29,115500,0,115500,0,0,0,0,0,110000,0,FLAT
SHRIRAMFIN,256,completed,2025-06-26,5400,21600,27000,0,0,0,0,0,4500,0,FLAT
BAJAJFINSV,257,completed,2025-02-27,9500,0,9500,0,0,0,0,0,8000,0,FLAT
HINDALCO,258,completed,2025-09-30,25200,0,25200,0,0,0,0,0,19600,0,FLAT
POWERGRID,259,open,,54000,0,0,0,54000,54000,0,54000,52100,0,OPEN_AT_END
BHARTIARTL,260,completed,2025-04-24,10925,0,10925,0,0,0,0,0,0,0,FLAT
NESTLEIND,261,completed,2026-04-28,7000,7000,14000,0,0,0,0,0,11000,0,FLAT
BAJFINANCE,262,completed,2025-01-30,2500,0,2500,0,0,0,0,0,875,0,FLAT
ULTRACEMCO,264,completed,2025-03-27,1200,0,1200,0,0,0,0,0,0,0,FLAT
HINDALCO,265,completed,2025-12-30,20300,0,20300,0,0,0,0,0,0,0,FLAT
TATASTEEL,267,completed,2025-12-30,93500,0,93500,0,0,0,0,0,0,0,FLAT
TECHM,272,open,,10200,0,0,0,10200,10200,0,10200,4800,0,OPEN_AT_END
TMPV,282,open,,48000,0,0,0,48000,48000,0,48000,0,0,OPEN_AT_END
HINDALCO,284,open,,9800,0,0,0,9800,9800,0,9800,0,0,OPEN_AT_END
