symbol,cycle_id,cycle_status,end,shares_assigned,shares_ca_delta,shares_called_away,shares_sold,shares_held_at_end,ledger_shares_open,call_covered_at_end,uncovered_at_end,max_uncovered_at_call,residual_after_call_away,status
WIPRO,127,open,,12800,12800,0,0,25600,25600,0,25600,1600,0,OPEN_AT_END
DRREDDY,129,completed,2023-04-27,625,0,625,0,0,0,0,0,375,0,FLAT
ADANIPORTS,132,completed,2022-08-25,2500,0,2500,0,0,0,0,0,0,0,FLAT
ASIANPAINT,133,uncoverable_odd_lot,2022-07-01,150,0,0,150,0,0,0,0,0,0,FLAT
COALINDIA,135,completed,2022-10-27,16800,0,16800,0,0,0,0,0,0,0,FLAT
INFY,141,completed,2023-12-28,4800,0,4800,0,0,0,0,0,4000,0,FLAT
CIPLA,143,completed,2024-01-25,650,0,650,0,0,0,0,0,0,0,FLAT
AXISBANK,147,completed,2023-11-30,8750,0,8750,0,0,0,0,0,0,0,FLAT
HINDALCO,160,completed,2024-04-25,15400,0,15400,0,0,0,0,0,0,0,FLAT
DIVISLAB,167,completed,2024-04-25,2400,0,2400,0,0,0,0,0,0,0,FLAT
M&M,169,completed,2024-02-29,5600,0,5600,0,0,0,0,0,0,0,FLAT
JSWSTEEL,170,completed,2024-04-25,11475,0,11475,0,0,0,0,0,0,0,FLAT
DRREDDY,182,completed,2024-06-27,1750,0,1750,0,0,0,0,0,0,0,FLAT
SHRIRAMFIN,204,completed,2024-08-29,3900,0,3900,0,0,0,0,0,0,0,FLAT
AXISBANK,207,completed,2024-09-26,9375,0,9375,0,0,0,0,0,0,0,FLAT
JSWSTEEL,217,completed,2024-08-29,10125,0,10125,0,0,0,0,0,0,0,FLAT
TATAMOTORS,224,terminated,2025-10-13,12100,0,0,12100,0,0,0,0,9900,0,FLAT
M&M,234,completed,2025-06-26,4200,0,4200,0,0,0,0,0,0,0,FLAT
BAJAJ-AUTO,235,open,,1050,0,0,0,1050,1050,0,1050,0,0,OPEN_AT_END
MARUTI,236,completed,2025-08-28,1000,0,1000,0,0,0,0,0,450,0,FLAT
TATASTEEL,237,completed,2025-05-29,82500,0,82500,0,0,0,0,0,77000,0,FLAT
SHRIRAMFIN,238,completed,2025-06-26,3600,14400,18000,0,0,0,0,0,1650,0,FLAT
BAJAJFINSV,239,completed,2025-02-27,6500,0,6500,0,0,0,0,0,5000,0,FLAT
HINDALCO,240,completed,2025-09-30,18200,0,18200,0,0,0,0,0,12600,0,FLAT
POWERGRID,241,open,,36000,0,0,0,36000,36000,0,36000,34100,0,OPEN_AT_END
BHARTIARTL,242,completed,2025-04-24,8075,0,8075,0,0,0,0,0,0,0,FLAT
NESTLEIND,243,completed,2026-04-28,5000,5000,10000,0,0,0,0,0,7000,0,FLAT
BAJFINANCE,244,completed,2025-01-30,1750,0,1750,0,0,0,0,0,125,0,FLAT
ULTRACEMCO,246,completed,2025-03-27,1100,0,1100,0,0,0,0,0,0,0,FLAT
AXISBANK,247,completed,2025-04-24,5625,0,5625,0,0,0,0,0,0,0,FLAT
HINDALCO,249,completed,2025-12-30,14700,0,14700,0,0,0,0,0,0,0,FLAT
TATASTEEL,251,completed,2025-12-30,66000,0,66000,0,0,0,0,0,0,0,FLAT
TECHM,260,open,,7200,0,0,0,7200,7200,0,7200,1800,0,OPEN_AT_END
TMPV,274,open,,35200,0,0,0,35200,35200,0,35200,0,0,OPEN_AT_END
HINDALCO,276,open,,9800,0,0,0,9800,9800,0,9800,0,0,OPEN_AT_END
